title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$15.51,$4.99,"Sold Mar 16, 2026",comc_consignment,New,https://www.ebay.com/itm/257394151011,https://i.ebayimg.com/images/g/U8oAAeSwkshpq2G7/s-l500.webp,N,,,Y,N,15.51,4.99,20.5,2026-03-16,auction,False,False,,,
1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$13.50,$4.99,"Sold Mar 16, 2026",comc_consignment,New,https://www.ebay.com/itm/236672868212,https://i.ebayimg.com/images/g/4TgAAeSwCaFpq2B1/s-l500.webp,N,,,Y,N,13.5,4.99,18.49,2026-03-16,auction,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$45.00,$5.20,"Sold Mar 16, 2026",cloudscards0,New,https://www.ebay.com/itm/406659998984,https://i.ebayimg.com/images/g/kU8AAeSw-ABpf8ma/s-l500.webp,N,,,N,Y,45.0,5.2,50.2,2026-03-16,bin,True,False,,,
Michael Jordan 1991 Upper Deck #SP1 Insert,$13.50,$6.00,"Sold Mar 16, 2026",pc_sportscards,New,https://www.ebay.com/itm/157738481860,https://i.ebayimg.com/images/g/q5UAAeSwlCRpr3J6/s-l500.webp,N,,,Y,N,13.5,6.0,19.5,2026-03-16,auction,False,False,,,
1991 Upper Deck Baseball - Michael Jordan #SP1 White Sox Rookie,$18.00,$1.15,"Sold Mar 16, 2026",coastalsportcollectibles,New,https://www.ebay.com/itm/147207360268,https://i.ebayimg.com/images/g/EhUAAeSw6~tpuBmS/s-l500.webp,N,,,N,Y,18.0,1.15,19.15,2026-03-16,bin,True,False,,,
1991 Upper Deck MICHAEL JORDAN Baseball #sp1 PSA 9 - MINT,$95.00,$0.00,"Sold Mar 16, 2026",drexelny,New,https://www.ebay.com/itm/266422439340,https://i.ebayimg.com/images/g/lnEAAOSwrXRiUeX8/s-l500.webp,Y,PSA,9,N,N,95.0,0.0,95.0,2026-03-16,bin,False,True,PSA,9.0,
1991 Upper Deck Michael Jordan #SP1 Short Print Baseball Rookie Card PSA 9 MINT,$89.00,$7.95,"Sold Mar 16, 2026",soldoutsports,New,https://www.ebay.com/itm/157731567095,https://i.ebayimg.com/images/g/RM8AAeSw~0Vpq5Hl/s-l500.webp,Y,PSA,9,Y,N,89.0,7.95,96.95,2026-03-16,auction,False,True,PSA,9.0,
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox SGC 9,$53.00,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026119517,https://i.ebayimg.com/images/g/PKkAAeSwfbFpsahQ/s-l500.webp,Y,SGC,9,Y,N,53.0,4.99,57.99,2026-03-16,auction,False,True,SGC,9.0,
1991 Upper Deck #SP1 Michael Jordan Chicago White Sox Baseball RC HOF PSA 9,$81.00,$5.50,"Sold Mar 16, 2026",probstein123,New,https://www.ebay.com/itm/389721933202,https://i.ebayimg.com/images/g/vHgAAeSwc0Rprz-9/s-l500.webp,Y,PSA,9,Y,N,81.0,5.5,86.5,2026-03-16,auction,False,True,PSA,9.0,
1991 Upper Deck #SP1 Michael Jordan Chicago White Sox HOF SGC 10 GEM MINT,$642.79,$5.50,"Sold Mar 16, 2026",probstein123,New,https://www.ebay.com/itm/377014303911,https://i.ebayimg.com/images/g/EWUAAeSwtj1pqz3e/s-l500.webp,Y,SGC,10,Y,N,642.79,5.5,648.29,2026-03-16,auction,False,True,SGC,10.0,
1991 Upper Deck Michael Jordan #SP1 PSA 10 GEM MINT - RARE - JUST GRADED 🔥,"$1,049.99",$12.48,"Sold Mar 16, 2026",vtballr72,New,https://www.ebay.com/itm/298099102691,https://i.ebayimg.com/images/g/tbYAAeSwc0RprJyK/s-l500.webp,Y,PSA,10,N,N,1049.99,12.48,1062.47,2026-03-16,bin,False,True,PSA,10.0,
1991 Upper Deck - Michael Jordan #SP1,$19.00,$0.00,"Sold Mar 16, 2026",eclecticniche,New,https://www.ebay.com/itm/287206310089,https://i.ebayimg.com/images/g/~kwAAeSwDBBptszo/s-l500.webp,N,,,N,N,19.0,0.0,19.0,2026-03-16,bin,False,False,,,
"1991 Upper Deck #SP1 Michael Jordan Pair, PSA 8 NM-MT & PSA Ex-MT-6",$66.00,$7.95,"Sold Mar 16, 2026",americanrelics2017,New,https://www.ebay.com/itm/127729872991,https://i.ebayimg.com/images/g/5SUAAeSwxbxpr1Ip/s-l500.webp,Y,PSA,8,Y,N,66.0,7.95,73.95,2026-03-16,auction,False,True,PSA,8.0,
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$18.50,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026397341,https://i.ebayimg.com/images/g/utoAAeSwCTFpscxI/s-l500.webp,N,,,Y,N,18.5,4.99,23.49,2026-03-16,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 White Sox,$30.00,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/127733970564,https://i.ebayimg.com/images/g/wAoAAeSw3RNpscul/s-l500.webp,N,,,Y,N,30.0,4.99,34.99,2026-03-16,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 White Sox,$16.05,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026390161,https://i.ebayimg.com/images/g/wS4AAeSwk1ppscvf/s-l500.webp,N,,,Y,N,16.05,4.99,21.04,2026-03-16,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 White Sox,$23.50,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026390066,https://i.ebayimg.com/images/g/1DcAAeSwjLdpscxL/s-l500.webp,N,,,Y,N,23.5,4.99,28.49,2026-03-16,auction,False,False,,,
1991 Upper Deck Michael Jordan #SP1 PSA 9 Chicago White Sox,$99.00,$10.77,"Sold Mar 16, 2026",anj_collectible_depot,New,https://www.ebay.com/itm/188170044356,https://i.ebayimg.com/images/g/KsYAAeSw7cpptglQ/s-l500.webp,Y,PSA,9,N,N,99.0,10.77,109.77,2026-03-16,bin,False,True,PSA,9.0,
PSA 9 1991 Upper Deck #SP1 Michael Jordan Mint HOF Rookie Baseball,$99.99,$6.99,"Sold Mar 16, 2026",first_born_collectibles,New,https://www.ebay.com/itm/406767287662,https://i.ebayimg.com/images/g/8xQAAeSw~dxptaKn/s-l500.webp,Y,PSA,9,N,N,99.99,6.99,106.98,2026-03-16,bin,False,True,PSA,9.0,
143208329 Michael Jordan 1991 Upper Deck #SP1 Inserts PSA 4,$42.00,$5.39,"Sold Mar 16, 2026",yankees001,New,https://www.ebay.com/itm/206123687166,https://i.ebayimg.com/images/g/7QoAAeSw3oFpnO1U/s-l500.webp,Y,PSA,4,Y,N,42.0,5.39,47.39,2026-03-16,auction,False,True,PSA,4.0,
1991 Upper Deck - Short Print Michael Jordan #SP1,$22.00,$5.52,"Sold Mar 16, 2026",jjcards23-2,New,https://www.ebay.com/itm/389753484688,https://i.ebayimg.com/images/g/BV8AAeSwx-RptyqP/s-l500.webp,N,,,N,Y,22.0,5.52,27.52,2026-03-16,bin,True,False,,,
1991 Upper Deck Michael Jordan #SP1 PSA 9,$125.00,$6.00,"Sold Mar 16, 2026",windycitysportscards,New,https://www.ebay.com/itm/167840080139,https://i.ebayimg.com/images/g/TIgAAeSwnnJo4yl8/s-l500.webp,Y,PSA,9,N,N,125.0,6.0,131.0,2026-03-16,bin,False,True,PSA,9.0,
1991 Upper Deck - Short Print Michael Jordan #SP1,$19.99,$5.20,"Sold Mar 16, 2026",lau_3793,New,https://www.ebay.com/itm/147124970793,https://i.ebayimg.com/images/g/KIoAAeSwDeJpe9Z3/s-l500.webp,N,,,N,N,19.99,5.2,25.19,2026-03-16,bin,False,False,,,
Upper Deck 1991 Michael Jordan SP1 Short Print Chicago White Sox Baseball Card,$19.00,$5.29,"Sold Mar 16, 2026",crystaltooth7,New,https://www.ebay.com/itm/358327498802,https://i.ebayimg.com/images/g/tlYAAeSw4rpptMV0/s-l500.webp,N,,,N,N,19.0,5.29,24.29,2026-03-16,bin,False,False,,,
1991 Upper Deck Michael Jordan #SP1 SGC 8,$29.99,$5.45,"Sold Mar 16, 2026",hev20020,New,https://www.ebay.com/itm/327047943679,https://i.ebayimg.com/images/g/GfsAAeSwtj1ptf2K/s-l500.webp,Y,SGC,8,N,Y,29.99,5.45,35.44,2026-03-16,bin,True,True,SGC,8.0,
1991 UPPER DECK #SP1 MICHAEL JORDAN PSA 8,$35.00,$6.00,"Sold Mar 16, 2026",cbsmarker,New,https://www.ebay.com/itm/147205741400,https://i.ebayimg.com/images/g/DFAAAeSwO61pts8B/s-l500.webp,Y,PSA,8,N,N,35.0,6.0,41.0,2026-03-16,bin,False,True,PSA,8.0,
1991 Upper Deck #SP1 Michael Jordan Baseball White Sox!,$20.00,$4.25,"Sold Mar 16, 2026",lgriffit,New,https://www.ebay.com/itm/185666190718,https://i.ebayimg.com/images/g/AuIAAOSwFuVje3~p/s-l500.webp,N,,,N,N,20.0,4.25,24.25,2026-03-16,bin,False,False,,,
1991 Upper Deck Michael Jordan #SP1 PSA 9 Chicago White Sox,$99.00,$10.77,"Sold Mar 16, 2026",anj_collectible_depot,New,https://www.ebay.com/itm/188162679251,https://i.ebayimg.com/images/g/KsYAAeSw7cpptglQ/s-l500.webp,Y,PSA,9,N,N,99.0,10.77,109.77,2026-03-16,bin,False,True,PSA,9.0,
1991 Upper Deck - Short Print Michael Jordan #SP1,$15.50,$5.52,"Sold Mar 16, 2026",amberemers,New,https://www.ebay.com/itm/227245107167,https://i.ebayimg.com/images/g/IhkAAeSwIQ9pqx0X/s-l500.webp,N,,,Y,N,15.5,5.52,21.02,2026-03-16,auction,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$25.00,$5.07,"Sold Mar 16, 2026",cardboardtales,New,https://www.ebay.com/itm/137084796569,https://i.ebayimg.com/images/g/49wAAeSwT4RppIIm/s-l500.webp,N,,,N,N,25.0,5.07,30.07,2026-03-16,bin,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$25.00,$3.99,"Sold Mar 16, 2026",jaze_9672,New,https://www.ebay.com/itm/188107482701,https://i.ebayimg.com/images/g/FHAAAeSwF95po5ns/s-l500.webp,N,,,N,Y,25.0,3.99,28.99,2026-03-16,bin,True,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1 W/ Crease Otherwise Nice,$10.45,$5.82,"Sold Mar 16, 2026",vintagewatchhunter,New,https://www.ebay.com/itm/267598903386,https://i.ebayimg.com/images/g/T88AAeSwd0lpmzrB/s-l500.webp,N,,,Y,N,10.45,5.82,16.27,2026-03-16,auction,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$95.00,$10.00,"Sold Mar 16, 2026",chaachi_38,New,https://www.ebay.com/itm/389749004356,https://i.ebayimg.com/images/g/JfsAAeSwyG9ptgAT/s-l500.webp,N,,,N,N,95.0,10.0,105.0,2026-03-16,bin,False,False,,,
1991 Upper Deck - Michael Jordan #SP1 Baseball PSA 8,$36.99,$5.52,"Sold Mar 16, 2026",invmic8,New,https://www.ebay.com/itm/168232789547,https://i.ebayimg.com/images/g/EtgAAeSwk1pptXrr/s-l500.webp,Y,PSA,8,N,N,36.99,5.52,42.51,2026-03-16,bin,False,True,PSA,8.0,
1991 Upper Deck Michael Jordan #SP1 Short Print Insert Chicago White Sox Card,$19.99,$5.07,"Sold Mar 16, 2026",adamulle0,New,https://www.ebay.com/itm/267608605422,https://i.ebayimg.com/images/g/HR8AAeSwYFlpt1iy/s-l500.webp,N,,,N,N,19.99,5.07,25.06,2026-03-16,bin,False,False,,,
1991 UPPER DECK MICHAEL JORDAN SP1 BASEBALL CARDNO. SP1 CHICAGO WHITE SOX,$24.99,$5.99,"Sold Mar 16, 2026",eagles-vick,New,https://www.ebay.com/itm/227258193037,https://i.ebayimg.com/images/g/LOIAAeSwDq5ptwW~/s-l500.webp,N,,,N,N,24.99,5.99,30.98,2026-03-16,bin,False,False,,,
1991 Upper Deck Baseball Michael Jordan SP1,$25.00,$5.00,"Sold Mar 16, 2026",j_mason71,New,https://www.ebay.com/itm/177666747074,https://i.ebayimg.com/images/g/5OIAAeSwRfJpOsv-/s-l500.webp,N,,,N,N,25.0,5.0,30.0,2026-03-16,bin,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$35.00,$5.20,"Sold Mar 16, 2026",puller14,New,https://www.ebay.com/itm/257374928448,https://i.ebayimg.com/images/g/WkcAAeSwzchpnGrw/s-l500.webp,N,,,N,N,35.0,5.2,40.2,2026-03-16,bin,False,False,,,
Michael Jordan 1991 Upper Deck Baseball #SP1 Chicago White Sox Bulls Crisp PICS!,$19.99,$1.32,"Sold Mar 16, 2026",bigsilvercoins,New,https://www.ebay.com/itm/198184801301,https://i.ebayimg.com/images/g/DOAAAeSwFWNptLyC/s-l500.webp,N,,,N,N,19.99,1.32,21.31,2026-03-16,bin,False,False,,,
1991 Upper Deck #SP1 Michael Jordan,$15.01,$4.00,"Sold Mar 15, 2026",time2impress,New,https://www.ebay.com/itm/397691786890,https://i.ebayimg.com/images/g/GAoAAeSw2ItprnAp/s-l500.webp,N,,,Y,N,15.01,4.0,19.01,2026-03-15,auction,False,False,,,
1991 Upper Deck #SP1 Michael Jordan ROOKIE RC PSA 9 Graded Baseball Card Insert,$103.96,$0.00,"Sold Mar 15, 2026",konksplatt,New,https://www.ebay.com/itm/127722394271,https://i.ebayimg.com/images/g/XakAAeSwKL1pqmgk/s-l500.webp,Y,PSA,9,N,N,103.96,0.0,103.96,2026-03-15,bin,False,True,PSA,9.0,
1991 Upper Deck Michael Jordan Rookie Card Baseball #SP1 NM/M,$21.39,$0.00,"Sold Mar 15, 2026",anmitc-2566,New,https://www.ebay.com/itm/127728143830,https://i.ebayimg.com/images/g/yaAAAeSwD2NprlIT/s-l500.webp,N,,,Y,N,21.39,0.0,21.39,2026-03-15,auction,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$19.78,$5.07,"Sold Mar 15, 2026",rivetpopper,New,https://www.ebay.com/itm/187965744356,https://i.ebayimg.com/images/g/QMYAAeSwU59pbYz8/s-l500.webp,N,,,N,N,19.78,5.07,24.85,2026-03-15,bin,False,False,,,
1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox Rookie,$19.09,$4.99,"Sold Mar 15, 2026",dcsports87,New,https://www.ebay.com/itm/127731499908,https://i.ebayimg.com/images/g/awkAAeSwojBpsEXm/s-l500.webp,N,,,Y,N,19.09,4.99,24.08,2026-03-15,auction,False,False,,,
1991 Upper Deck Short Print Michael Jordan #SP1 CGC 7.5 HOF,$23.50,$4.99,"Sold Mar 15, 2026",comc_consignment,New,https://www.ebay.com/itm/236669364412,https://i.ebayimg.com/images/g/CiQAAeSw2J9pqONT/s-l500.webp,Y,CGC,7.5,Y,N,23.5,4.99,28.49,2026-03-15,auction,False,True,CGC,7.5,
Upper Deck 1991 Michael Jordan SP1 Chicago White Sox Short Print Baseball Card,$19.99,$5.07,"Sold Mar 15, 2026",mel598639,New,https://www.ebay.com/itm/188167092467,https://i.ebayimg.com/images/g/BtkAAeSw4h1pt1VF/s-l500.webp,N,,,N,N,19.99,5.07,25.06,2026-03-15,bin,False,False,,,
1991 Upper Deck Short Print Baseball #SP1 Michael Jordan,$31.00,$5.99,"Sold Mar 15, 2026",sportcardauctionscom,New,https://www.ebay.com/itm/377016952878,https://i.ebayimg.com/images/g/zW4AAeSwomBprMRF/s-l500.webp,N,,,Y,N,31.0,5.99,36.99,2026-03-15,auction,False,False,,,
1991 Upper Deck Short Print Baseball #SP1 Michael Jordan,$20.00,$5.99,"Sold Mar 15, 2026",sportcardauctionscom,New,https://www.ebay.com/itm/377016952883,https://i.ebayimg.com/images/g/iLUAAeSwc0RprMRF/s-l500.webp,N,,,Y,N,20.0,5.99,25.99,2026-03-15,auction,False,False,,,
