price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
35.0,4.78,39.78,2026-03-18,bin,True,,,,1991 Upper Deck SP1 Michael Jordan Chicago White Sox Base...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,1.03,21.03,2026-03-18,bin,True,,,,1991 Upper Deck - Michael Jordan #SP1 Chicago White Sox S...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.74,20.73,2026-03-18,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
29.95,0.0,29.95,2026-03-18,bin,True,,,,1991 Upper Deck #SP1 Michael Jordan ROOKIE!,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
69.3,7.95,77.25,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.0,5.07,24.07,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.0,1.03,16.03,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,5.07,25.07,2026-03-18,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
17.5,4.85,22.35,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
39.99,5.07,45.06,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
