title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
NOLAN RYAN Basball Cards - Base Cards & Inserts ***YOU PICK***,$0.99,$0.50,"Sold Mar 13, 2026",chesapeakeoc,New,https://www.ebay.com/itm/267529661195,N,,,N,N,0.99,0.5,1.49,2026-03-13,bin,False,False,,,
1991 Fleer Pro-visions Factory Insert Set - Henderson Bonds Sandberg Stewart,$13.95,$1.50,"Sold Mar 13, 2026",zees-dvds,New,https://www.ebay.com/itm/117069791203,N,,,N,N,13.95,1.5,15.45,2026-03-13,bin,False,False,,,
1991 Fleer - Rare Factory Set Pro-Vision Barry Bonds #1 - High Grade,$3.95,$0.00,"Sold Mar 13, 2026",willo44,New,https://www.ebay.com/itm/389734211384,N,,,N,Y,3.95,0.0,3.95,2026-03-13,bin,True,False,,1.0,
Lee Smith 1991 Fleer #645 Cardinals MLB READ FREE SHIPPING AutographDen,$0.14,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689303332,N,,,Y,N,0.14,0.0,0.14,2026-03-13,auction,False,False,,,645
1991 Fleer - Pro-Vision Eric Davis #10,$0.99,$1.32,"Sold Mar 13, 2026",wiggly24,New,https://www.ebay.com/itm/336467295595,N,,,Y,N,0.99,1.32,2.31,2026-03-13,auction,False,True,,10.0,
Barry Bonds 1991 Ultra Ultra Team (Ultra Gold) #1 Pittsburgh Pirates,$1.99,$0.00,"Sold Mar 13, 2026",montereysportscards,New,https://www.ebay.com/itm/336108025382,N,,,N,Y,1.99,0.0,1.99,2026-03-13,bin,True,False,,1.0,
1991 Fleer Pro-Visions Mark McGwire #4 PSA 8 NM-MT Oakland A’s,$24.99,$7.45,"Sold Mar 13, 2026",jenna_james,New,https://www.ebay.com/itm/336408038596,Y,PSA,8,N,Y,24.99,7.45,32.44,2026-03-13,bin,True,True,PSA,8.0,
Jack Morris 1991 Fleer #343 Detroit Tigers MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784740219,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,343
1991 Fleer - Pro-Vision Kirby Puckett #1 PSA 8,$20.00,$5.89,"Sold Mar 13, 2026",theemandog,New,https://www.ebay.com/itm/377014771581,Y,PSA,8,Y,N,20.0,5.89,25.89,2026-03-13,auction,False,True,PSA,8.0,
Kirby Puckett 1991 Fleer #623 Twins MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784737589,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,623
1991 Fleer - Ken Griffey Jr #450,$0.01,$2.25,"Sold Mar 13, 2026",gcwater95,New,https://www.ebay.com/itm/377019102797,N,,,Y,N,0.01,2.25,2.26,2026-03-13,auction,False,False,,,450
Andre Dawson 1991 Fleer #419 Chicago Cubs MLB READ FREE SHIPPING AutographDen,$0.11,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689305181,N,,,Y,N,0.11,0.0,0.11,2026-03-13,auction,False,False,,,419
Nolan Ryan 1991 Fleer Ultra Baseball Card # 355 I8030,$1.69,$0.00,"Sold Mar 13, 2026",ccoorryy,New,https://www.ebay.com/itm/287187605661,N,,,N,N,1.69,0.0,1.69,2026-03-13,bin,False,False,,,355
Shawon Dunston 1991 Fleer #420 Chicago Cubs MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784727911,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,420
Randy Johnson 1991 Fleer #455 Mariners MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689304352,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,455
"RYNE SANDBERG YOU PICK SEE SCANS OF EVERY CARD CUBS SUPERSTAR 100,S",$0.99,$0.99,"Sold Mar 13, 2026",uconnbob38,New,https://www.ebay.com/itm/166856945592,N,,,N,N,0.99,0.99,1.98,2026-03-13,bin,False,True,,,100
RICKEY HENDERSON 1991 FLEER PRO VISION #2...Ai App Graded At 7.75..PRISTINE!,$4.19,$1.90,"Sold Mar 13, 2026",davanst-20,New,https://www.ebay.com/itm/365911953387,N,,,N,Y,4.19,1.9,6.09,2026-03-13,bin,True,False,,2.0,75
1991 Fleer Mark McGwire #4 Pro-Visions,$2.00,$1.32,"Sold Mar 13, 2026",enomalyecollectibles,New,https://www.ebay.com/itm/397475114479,N,,,N,N,2.0,1.32,3.32,2026-03-13,bin,False,False,,4.0,
1991 Fleer - Factory Set Pro-Vision Barry Bonds #1,$3.99,$0.00,"Sold Mar 13, 2026",timscards1979,New,https://www.ebay.com/itm/397697610238,N,,,N,N,3.99,0.0,3.99,2026-03-13,bin,False,False,,1.0,
Wade Boggs cards (1986-2024) Red Sox Yankees Rays,$0.99,$0.75,"Sold Mar 13, 2026",sjosing,New,https://www.ebay.com/itm/376508730694,N,,,N,N,0.99,0.75,1.74,2026-03-13,bin,False,False,,,
Jose Oquendo 1991 Fleer #640 Cardinals MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784727131,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,640
1991 Fleer - #709 Ryne Sandberg & Cecil Fielder - PSA 8 Near Mint-Mint/Auto 10,$40.00,$6.50,"Sold Mar 13, 2026",dbu13647,New,https://www.ebay.com/itm/127723948822,Y,PSA,8,Y,N,40.0,6.5,46.5,2026-03-13,auction,False,True,PSA,8.0,709
2024 Jersey Fusion 1991 Fleer Ulta Game Used Swatch Rickey Henderson,$11.49,$1.49,"Sold Mar 13, 2026",all-things-sports-sux,New,https://www.ebay.com/itm/389709107079,N,,,Y,N,11.49,1.49,12.98,2026-03-13,auction,False,False,,,
Tim Raines 1991 Fleer #244 Montreal Expos MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784736883,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,244
Carlton Fisk 1991 Fleer #118 White Sox MLB READ FREE SHIPPING AutographDen,$0.06,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784735953,N,,,Y,N,0.06,0.0,0.06,2026-03-13,auction,False,False,,,118
Bob Boone 1991 Fleer #551 Kansas City Royals MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689292020,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,551
Edgar Martinez 1991 Fleer #457 Mariners MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689304673,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,457
Tom Gordon 1991 Fleer #559 Royals MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784727086,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,559
1991 Fleer ~ Rickey Henderson ~ 10 ~ Athletics,$0.99,$0.74,"Sold Mar 13, 2026",ryanz_sportscardz_and_collectiblz,New,https://www.ebay.com/itm/206129492505,N,,,N,Y,0.99,0.74,1.73,2026-03-13,bin,True,True,,10.0,
Matt Williams 1991 Fleer #276 Giants MLB READ FREE SHIPPING AutographDen,$0.16,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784725988,N,,,Y,N,0.16,0.0,0.16,2026-03-13,auction,False,False,,,276
1991 Fleer - Nolan Ryan #302 Texas Rangers,$1.00,$0.74,"Sold Mar 13, 2026",tdtrading0721,New,https://www.ebay.com/itm/397590202127,N,,,N,N,1.0,0.74,1.74,2026-03-13,bin,False,False,,,302
1991 Fleer - Mark McGwire #17,$0.99,$0.74,"Sold Mar 13, 2026",juicyaverage12,New,https://www.ebay.com/itm/227221794495,N,,,N,Y,0.99,0.74,1.73,2026-03-13,bin,True,False,,,17
