title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox Rookie,$24.50,"Sold Mar 19, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/377034444631,https://i.ebayimg.com/images/g/H5IAAeSwnExptYRZ/s-l500.webp
1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox Rookie,$27.00,"Sold Mar 19, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127742591859,https://i.ebayimg.com/images/g/PGwAAeSwPa9ptYSR/s-l500.webp
"PSA SGC Graded cards, baseball, football, topps",$6.00,"Sold Mar 19, 2026",N,,,N,N,$5.99,1mpc770,New,https://www.ebay.com/itm/227191777232,https://i.ebayimg.com/images/g/dQAAAeSwMXdpeUnk/s-l500.webp
Michael Jordan 1991 Upper Deck - Short Print #SP1 1st Baseball Card NM/MT,$19.50,"Sold Mar 19, 2026",N,,,Y,N,$4.99,fredrikp,New,https://www.ebay.com/itm/277788799425,https://i.ebayimg.com/images/g/EGUAAeSwY6BplLTD/s-l500.webp
1991 UPPER DECK #SP1 MICHAEL JORDAN INSERTS,$22.59,"Sold Mar 19, 2026",N,,,Y,N,$12.75,slabsharksinc,New,https://www.ebay.com/itm/206129498003,https://i.ebayimg.com/images/g/k1AAAeSwXQJpshbq/s-l500.webp
1991 Upper Deck #SP1 Michael Jordan Chicago White Sox HOF PSA 8 NM-MT,$38.00,"Sold Mar 19, 2026",Y,PSA,8,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/389737400250,https://i.ebayimg.com/images/g/2mUAAeSwOyppsypl/s-l500.webp
1990 Upper Deck MICHAEL JORDAN Baseball Rookie Card #SP1 RC Chicago White Sox NM,$25.00,"Sold Mar 19, 2026",N,,,N,Y,$5.52,skimalibu42,New,https://www.ebay.com/itm/206125916893,https://i.ebayimg.com/images/g/UuoAAeSwXVZpsGey/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1 Bulls HOF 🐐🐐 EX,$15.01,"Sold Mar 19, 2026",N,,,Y,N,$5.50,kelllicciard-0,New,https://www.ebay.com/itm/366275279082,https://i.ebayimg.com/images/g/SGkAAeSwnCdptg48/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 PSA 9,$125.00,"Sold Mar 19, 2026",Y,PSA,9,N,N,$5.20,buckledbreakscollectibles,New,https://www.ebay.com/itm/397732427894,https://i.ebayimg.com/images/g/9FQAAeSwgxZpuxTO/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 Chicago Cubs,$14.58,"Sold Mar 19, 2026",N,,,Y,N,$10.92,savage.cards,New,https://www.ebay.com/itm/157742516145,https://i.ebayimg.com/images/g/5tAAAeSwUztpsZuJ/s-l500.webp
1991 Upper Deck - #SP1 Michael Jordan (SP) Chicago White Sox,$14.95,"Sold Mar 19, 2026",N,,,Y,N,$4.00,kgz25,New,https://www.ebay.com/itm/327043052679,https://i.ebayimg.com/images/g/-BsAAeSwkRVpp7mi/s-l500.webp
Upper Deck 1991 Michael Jordan SP1 Insert Chicago White Sox MLB Baseball Card,$10.50,"Sold Mar 19, 2026",N,,,Y,N,$5.00,tu_3758,New,https://www.ebay.com/itm/317994942831,https://i.ebayimg.com/images/g/804AAeSwnjlps1wB/s-l500.webp
1991 Upper Deck #SP1 Michael Jordan,$19.99,"Sold Mar 19, 2026",N,,,N,N,$5.99,bbinnh,New,https://www.ebay.com/itm/277671821723,https://i.ebayimg.com/images/g/4TwAAeSwykppuy~~/s-l500.webp
